route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
route_31,agency_1,"1","",,900,,,
route_43,agency_1,"19","",,900,,,
route_46,agency_1,"22","",,900,,,
route_53,agency_1,"62","",,900,,,
route_54,agency_1,"64","",,900,,,
route_55,agency_1,"3","",,900,,,
route_56,agency_1,"69","",,900,,,
route_58,agency_1,"9","",,900,,,
route_59,agency_1,"11","",,900,,,
route_62,agency_1,"24","",,900,,,
route_63,agency_1,"50","",,900,,,
route_69,agency_1,"18","",,900,,,
route_70,agency_1,"52","",,900,,,
route_151,agency_1,"73","",,900,,,
route_616,agency_1,"99","",,900,,,
route_698,agency_1,"21","",,900,,,
route_754,agency_1,"70","",,900,,,
route_755,agency_1,"74","",,900,,,
route_806,agency_1,"4","",,900,,,
route_807,agency_1,"8","",,900,,,
route_808,agency_1,"13","",,900,,,
route_809,agency_1,"20","",,900,,,
route_813,agency_1,"82","",,900,,,
route_814,agency_1,"86","",,900,,,
route_815,agency_1,"81","",,900,,,
route_816,agency_1,"83","",,900,,,
route_817,agency_1,"84","",,900,,,
route_818,agency_1,"85","",,900,,,
route_819,agency_1,"87","",,900,,,
route_820,agency_1,"88","",,900,,,
route_821,agency_1,"89","",,900,,,
route_943,agency_1,"14","",,900,,,
route_944,agency_1,"49","",,900,,,
route_955,agency_1,"6","",,900,,,
route_956,agency_1,"10","",,900,,,
route_957,agency_1,"16","",,900,,,
route_958,agency_1,"17","",,900,,,
